,Splited_Hashtags,Count
5006,#happyindepence,5
3124,#artisan,5
4790,#forex,5
1673,#family,5
5422,#lifeofapassionatewriter,5
4989,#tacha,5
5104,#nigeriaat60,5
4675,#radio,5
9122,#nations,5
9123,#lordofthenations,5
4300,#payments,5
4327,#branding,5
3123,#handyman,5
2581,#sorosoke,5
414,#northlondonderby,5
1355,#coding,5
232,#bbnaijas7,5
563,#osunstate,5
4990,#tachatitans,5
5678,#monthofoctober,5
1408,#travels,5
1185,#biafrareferendumnow,4
4570,#fpl,4
2232,#thefutureishere,4
2782,#like,4
2696,#jaypappyjay,4
2222,#rescue,4
1169,#naijawecan,4
2223,#reset,4
1901,#endasuustrike,4
1688,#youths,4
3112,#legal,4
53,#theplatformng,4
4258,#nation,4
3427,#cybersecurity,4
2102,#viralvideo,4
1787,#oneafrica,4
2156,#projectmanagement,4
1875,#nigeriamycountry,4
666,#obicubana,4
5848,#tradeonowletapp,4
1036,#edostate,4
1033,#masculinitysaturday,4
2141,#celebratenigeria,4
1816,#justice,4
3892,#nigeriadecide2023,4
2115,#wewillsmileagain,4
1865,#graphic,4
4484,#burnaboy,4
2131,#obidently,4
1841,#goddid,4
3987,#grassrootsnews,4
649,#breakingnews,4
648,#biafraexit,4
3225,#votepeterobi,4
3639,#obident,4
2210,#outsourcing,4
3347,#mufc,4
5200,#training,4
248,#dlconversations,4
728,#nigeriaarmy,4
5022,#bettertogether,4
1751,#financialfreedom,4
3047,#obedients,4
5458,#pinetwork,4
1096,#happyindependence2022,4
283,#nigeriadecides,4
5457,#sdg4,4
1091,#diversity,4
2174,#wizkidfc,4
639,#beautiful,4
2096,#bbnoriginalowambe,4
360,#internationaldayofolderpersons,4
696,#rccgworldwide,4
489,#designer,4
3332,#benin,4
449,#arise,4
1565,#ibelieve,4
881,#law,4
852,#nftcommunity,4
1573,#leaders,4
2029,#todayinhistory,4
1578,#commonwealth,4
5095,#hr,4
9100,#dreamfacereveal,4
2036,#globalyouthconvocation,4
2038,#blogger,4
1590,#reels,4
327,#afrobeat,4
15,#kwankwaso,4
332,#iamanigerian,4
498,#childhealth,4
4151,#pdpnewgeneration,4
1998,#ict,4
1300,#pray,4
4661,#simplemerchant,4
4662,#fastdelivery,4
100,#foryoupage,4
476,#games,4
311,#abujadisco,4
4657,#bnb,4
206,#vawulencespace,4
309,#graphicdesigners,4
1311,#nigerianidependence,4
1310,#aajourneysofar,4
1307,#omonaija,4
1306,#abat2023,4
1348,#jenniiferpiiter,4
488,#vawulence,4
3139,#octoberfast,4
2862,#spequifif,4
2358,#aba1millionmarch,4
4625,#happynewmonthfans,4
1438,#lagosbusiness,4
1658,#chimarokennamani,4
2792,#hiddenbrains,4
4878,#youthempowerment,4
323,#logo,4
4119,#carpentery,4
3122,#chizzy,4
569,#soworemagashi2023,4
5748,#properties,4
7453,#prada,4
8916,#adekunle,4
7359,#62ndindependencedaynigeria,4
400,#brotherhoodthemovie,4
894,#change,4
2046,#motherland,4
2288,#happy62ndbirthday,4
3330,#shoes,4
1604,#freemazinnamdikanunow,4
2044,#bat,4
3781,#style,4
2961,#success,4
4704,#freelance,4
2455,#entrepreneurship,4
5358,#the1jaa,4
3700,#advertising,4
1473,#electricity,4
169,#faith,4
3786,#pr,4
310,#aedc,3
3385,#nigerianyouths,3
2715,#indepencedaynigeria,3
3136,#gabsfinancial,3
992,#uidesign,3
3137,#suremoney,3
5534,#softwaredevelopment,3
4485,#olamide,3
838,#woyintonbra,3
7088,#anker,3
318,#indepence,3
1976,#soueve,3
981,#realestatenigeria,3
840,#mtn,3
5044,#newday,3
1876,#greenland,3
4442,#likeminds4anewnigeria,3
945,#aespaxgivenchy,3
3105,#fallforward,3
298,#letstalk,3
7370,#unityandfaith,3
5774,#goodmorning,3
1935,#poetrycommunity,3
1934,#poetry,3
6241,#auto,3
301,#septemberdump,3
1902,#labourpartyindependencedaychallenge,3
2688,#nigeriacelebrates,3
3114,#tedx,3
5048,#financialinclusion,3
1429,#iamnigerian,3
289,#share,3
1914,#nigeriaaticao,3
1942,#happiness,3
946,#kcon2022saudiarabia,3
2710,#greenpoweroverseasltd,3
4470,#liquolions,3
3134,#realty,3
7109,#independiente,3
869,#gas,3
8261,#2023presidency,3
3092,#nld,3
875,#spokenwordpoetry,3
4426,#ypp,3
3629,#global,3
284,#vote,3
878,#government,3
1887,#act4sdgs,3
5334,#loans,3
7089,#ankernigeria,3
5023,#saveachild,3
952,#biggboss,3
3104,#forwardfalls,3
3778,#letsgofurther,3
1124,#rally,3
3648,#environmentalsustainability,3
2814,#bespoke,3
211,#funny,3
1299,#joy,3
212,#freebiafra,3
6875,#abujabusiness,3
1293,#betterdaysahead,3
6115,#mytwitteranniversary,3
2822,#ナイジェリア,3
1579,#nigerianationalday,3
4633,#1october2022,3
3451,#guestsnpassengers,3
3834,#businesslawyer,3
3450,#guestspassengers,3
3449,#gupa,3
6127,#trustbanc,3
1215,#coaching,3
6128,#investing,3
6129,#wealthmanagement,3
2963,#police,3
1609,#independencecelebration,3
166,#legacy,3
2968,#accelerex,3
5492,#mbaforafrica22,3
1637,#pje,3
1639,#polycarpeji,3
4857,#thejepmite,3
3713,#oautwitter,3
7457,#headlines,3
1645,#newscentraltv,3
3825,#lpg,3
7490,#unitednations,3
6105,#batshet2023,3
3452,#traveller,3
5295,#newmonthblessings,3
3457,#aviation,3
1445,#healthylifestyle,3
6065,#trem,3
1460,#quotes,3
1462,#wisdom,3
4749,#votepeterobi4president2023,3
1476,#nathesth,3
4758,#electoralcollege,3
197,#covidisnotover,3
4760,#kunlelawal,3
1369,#pwan,3
1367,#manutd,3
5509,#content,3
4765,#qna,3
8497,#writingcommunity,3
6079,#wizkid𓃵,3
2854,#learning,3
1354,#jos,3
3757,#birland,3
7564,#metaverse,3
3454,#airlines,3
4663,#bmtoken,3
2927,#mercies,3
1539,#youthdevelopment,3
3453,#travelserviceproviders,3
5986,#ourladyqueenofnigeria,3
1217,#endnigeriatosavelives,3
1652,#ourmumudondo,3
1000,#uiux,3
3666,#happy62,3
6188,#goodpeoplegreatnation,3
1749,#donjazzy,3
3672,#retail,3
1095,#afc,3
3344,#sunday,3
3049,#artistsontwitter,3
1082,#festas,3
1080,#adamawa,3
1078,#delta,3
1076,#bbnaijalevelup,3
