Date,ID,Url,Username,Source_Location,Location,Tweets,Number_of_Likes,Number_of_Followers,Number_of_Retweets
2022-10-02 01:59:49+00:00,1.57639E+18,https://twitter.com/Presh_Dera/status/1576391473297125376,Presh_Dera,Twitter for iPhone,,"Always forgetting this app exist😭 
It’s still my birthday month tho🌝 
October 1st baby😌
Happy birthday to me❤️

#October1st #birthday #beauty #LoveIsland #BiggBoss #ObidientLagosRally #NigeriaIndependence https://t.co/smpdz44w3n",0,42,0
2022-10-02 01:58:32+00:00,1.57639E+18,https://twitter.com/txtechbsa/status/1576391149157171200,txtechbsa,Twitter for iPhone,"Lubbock, TX","Happy Nigerian Independence Day! Today marks 62 years of Nigeria’s Independence! Nigerian culture can be seen everywhere, from fashion to just pop culture in general!  

Fun Fact: Our President of BSA is Nigerian and also part of the Yoruba Tribe which is 1 of 371 tribes!🇳🇬 https://t.co/RBiQTpePrh",12,1989,2
2022-10-02 01:55:32+00:00,1.57639E+18,https://twitter.com/ifeanyiagbo/status/1576390395763621889,ifeanyiagbo,Twitter for Android,,"@OfficialNCDMB @wabote_simbi Happy Independence day! Long live the Federal Republic of Nigeria! May our Nation continue to move in the right direction, no matter the obstacles we face daily and may Nigeria also grow from strength to Strength Amen",1,156,0
2022-10-02 01:54:27+00:00,1.57639E+18,https://twitter.com/FELASTORY/status/1576390120118394880,FELASTORY,WordPress.com,Lagos Nigeria,Four million Nigerians marched for Peter Obi in various cities and towns while government hosted parades in empty squares and stadiums on Nigeria's 62nd Independence day. https://t.co/XamqPPOy99,0,866,0
2022-10-02 01:54:14+00:00,1.57639E+18,https://twitter.com/MokeAyodele/status/1576390066015940609,MokeAyodele,Twitter for Android,Nigeria,@ManUtd not even Happy independence to Nigeria.... that bad.,0,558,0
2022-10-02 01:54:04+00:00,1.57639E+18,https://twitter.com/DanDhll/status/1576390023779213315,DanDhll,Twitter for iPhone,"World,Life",@whitenigerian Happy independence. Really you from Nigeria 🇳🇬,0,283,0
2022-10-02 01:51:43+00:00,1.57639E+18,https://twitter.com/IndependentNGR/status/1576389433040871424,IndependentNGR,Twitter Web App,"Lagos, Nigeria","Today in Sunday Independent: Nigeria Celebrates 62nd Independence Anniversary Amid Security, Economic Pains and more stories. 
#nigeria #news #IndependenceDay #nigeria #IndependenceDay2022 #2023presidency #politics #2023election #apc #pdp #labourparty #economy https://t.co/GAV3t1Yssf",21,38588,9
2022-10-02 01:50:36+00:00,1.57639E+18,https://twitter.com/SubhashManav1/status/1576389152551370752,SubhashManav1,Twitter for Android,Delhi ,"Heartiest greetings to the Federal Republic of Nigeria &amp; its people on Nigeria's 62nd Independence Day. Celebration at Nigerian Embassy New Delhi... Happy Independence Day H.E. Ahmed Sule Ambassador / High Commissioner of Nigeria 🙏 🇮🇳🤝🇳🇬

#NigeriaAt62 #HappyIndependenceNigeria https://t.co/jZXaYCWwy7",8,58,2
2022-10-02 01:50:27+00:00,1.57639E+18,https://twitter.com/skyecorp1/status/1576389115821453312,skyecorp1,Twitter for iPhone,"Abuja, Nigeria",Happy Independence Day Nigeria 🇳🇬,3,222,2
2022-10-02 01:49:43+00:00,1.57639E+18,https://twitter.com/DanielJ31916546/status/1576388930047741952,DanielJ31916546,Twitter for iPhone,,@DJayshapzy @LeonardIBMarc1 We are Angry with the current situation of Nigeria 🇳🇬 I no even post independence whatsoever yesterday,1,380,0
2022-10-02 01:48:13+00:00,1.57639E+18,https://twitter.com/khercee_59/status/1576388553143377921,khercee_59,Twitter for iPhone,,Cadiz wished Nigeria “Happy Independence” pass Nigerian teams,1,1098,1
2022-10-02 01:47:57+00:00,1.57639E+18,https://twitter.com/__F0rlife_Mx__/status/1576388484092559360,__F0rlife_Mx__,Twitter for Android,she/her❁ #StopAsianHate🌷,happy independence day Nigeria 🇳🇬,1,431,0
2022-10-02 01:47:53+00:00,1.57639E+18,https://twitter.com/achssocstudies/status/1576388467579244544,achssocstudies,Twitter Web App,,"On this date in 1960, Nigeria gained its independence from Great Britain- October 1.",1,130,0
2022-10-02 01:45:48+00:00,1.57639E+18,https://twitter.com/oswald_philemon/status/1576387945132875777,oswald_philemon,Twitter for Android,,"@ruffydfire On this year's Nigeria's independence day, Nigerians asked to be freed from their oppressors who turned out  to be their countrymen.
History shall remember this day, eventually, when Obi becomes the President and delivers on the masses' yarns for good leadership.",0,158,0
2022-10-02 01:45:33+00:00,1.57639E+18,https://twitter.com/sar_GENT/status/1576387881509478400,sar_GENT,Twitter for iPhone,Tundun's Mind ,Happy Independence Day Nigeria. 🇳🇬 ❤️ https://t.co/RCj1E6Bsbk,0,2307,0
2022-10-02 01:45:08+00:00,1.57639E+18,https://twitter.com/Klassique_Sage/status/1576387778488586240,Klassique_Sage,Twitter for iPhone,Global,"The land will be green again! 💪🏽

But remember….. The grass is only greener on the side where it is watered.
Get your 'watering cans' (play your part).

Nigeria is blessed!
Happy Independence, Nigeria! https://t.co/zXRlkuggOT",0,80,0
2022-10-02 01:44:38+00:00,1.57639E+18,https://twitter.com/AdermAbdul/status/1576387652789874689,AdermAbdul,Twitter for Android,Nigeria,"when will he do it when he's got less than 8 months to go?

62 years ago Nigeria got independence from colonialism but it appears that Nigerians are yet to get independence from the political class. It's more like the people moved from one form of colonialism to another.",0,3486,0
2022-10-02 01:43:56+00:00,1.57639E+18,https://twitter.com/SpaceloftproLtd/status/1576387474351267841,SpaceloftproLtd,Twitter for iPhone,"27, First Avenue, Ibara, Abk","Happy New Month and Happy Independence Day to our blessed Nation NIGERIA!
#Nigeria #Onenigeria #Independenceday #Architecture #Construction #interiordesign https://t.co/gRxyZka61Z",2,5,0
2022-10-02 01:43:39+00:00,1.57639E+18,https://twitter.com/ParisSorel/status/1576387403362709505,ParisSorel,Twitter for iPhone,,"Beautiful wedding , great friends! #HappyNigerianIndepenceDay  #NigeriaIndependence #Love #Igbo #weddingcelebration #Friends #FamilyAffair https://t.co/01F0p9FMCw",0,2249,0
2022-10-02 01:42:04+00:00,1.57639E+18,https://twitter.com/hajaaruh7/status/1576387004996022273,hajaaruh7,Twitter for iPhone,,Happy Independence Day Nigeria 🇳🇬,1,70,0
2022-10-02 01:41:59+00:00,1.57639E+18,https://twitter.com/rotmini02/status/1576386984427524096,rotmini02,Twitter for Android,,#nigeria #wemove#independence https://t.co/PRgQuuo1E8,1,8,0
2022-10-02 01:40:44+00:00,1.57639E+18,https://twitter.com/THISDAYLIVE/status/1576386669837799425,THISDAYLIVE,Hootsuite Inc.,Nigeria,"NIGERIA: FROM SUBORDINATION TO SUBSERVIENCE OF THE JUDICIARY IN 62 YEARS For all the talk of judicial independence, the reality of colonial and post-colonial Nigeria has been one long story of judicial subordination into su https://t.co/vhCgUCSsF9 https://t.co/u4scIaEZQn",5,1586906,3
2022-10-02 01:40:40+00:00,1.57639E+18,https://twitter.com/globalnyc/status/1576386650657021952,globalnyc,Twitter for iPhone,New York City,Our team joined the celebration of Nigeria’s 62nd Independence Day! It was wonderful to engage the community during such a important moment! https://t.co/1KNycZTLrn,5,9536,2
2022-10-02 01:39:34+00:00,1.57639E+18,https://twitter.com/nigeriantribune/status/1576386376714825728,nigeriantribune,dlvr.it,Nigeria,Independence celebration: A new Nigeria is possible https://t.co/UJyWGGv36J,2,774729,1
2022-10-02 01:38:51+00:00,1.57639E+18,https://twitter.com/LizzayBrown/status/1576386194203561985,LizzayBrown,Twitter for Android,,"@BinanceAfrica God willing Nigeria will overcome all it's challenges and setbacks. May Nigeria succeed.
Proudly Nigerian.
Proudly African.
Happiest independence to the giant of 
@CaptJamyl 
@officialdeezell 
@DAMIADENUGA 
@flourish_love 
@realkingdaniell 
@whitenigerian 
#TrueFreedom",0,4,0
2022-10-02 01:38:10+00:00,1.57639E+18,https://twitter.com/djmidnightcrow/status/1576386022971015168,djmidnightcrow,Twitter for Android,"Houston, TX","Happy Independence Day, Nigeria https://t.co/mtQduD7BaM",0,320,0
2022-10-02 01:37:11+00:00,1.57639E+18,https://twitter.com/Miel_Rama/status/1576385774320513024,Miel_Rama,Twitter for iPhone,Philly,Happy Independence Day Nigeria,0,349,0
2022-10-02 01:36:46+00:00,1.57639E+18,https://twitter.com/2709updates/status/1576385673287925762,2709updates,WordPress.com,"Lagos, Nigeria",Toyin Lawani slammed over Nigeria’s Independence Day outfit https://t.co/NCcnPhLnnq,0,374,0
2022-10-02 01:36:33+00:00,1.57639E+18,https://twitter.com/TheGamutt/status/1576385615825879041,TheGamutt,Instagram,"Atlanta, NYC, L.A., Mia,Nola",Happy Independence Day #Nigeria! 🇳🇬 https://t.co/KwpvI5yJPd,1,481,1
2022-10-02 01:35:05+00:00,1.57639E+18,https://twitter.com/SzefQueenEbony/status/1576385248098922497,SzefQueenEbony,Twitter for iPhone,"Houston, TX","So today was Independence Day for Nigeria, and I told two of my good friends “Happy Independence Day” and they wasn’t repping like the TL. I guess when you actually have to live in your country, you don’t give a fuck about it but when you’re abroad you got so much love for it.",0,511,0
2022-10-02 01:34:41+00:00,1.57639E+18,https://twitter.com/FACT_UNDISPUTED/status/1576385146529251330,FACT_UNDISPUTED,Twitter for Android,,"@Suhltann @yemialadee Your disabled Tinubu is receiving treatment in a country that colonized Nigeria. After 62years of independence, Nigeria doesn't have a Functional world-class medical centers. Have you ever had that the President of USA was flown to Germany for Medcal treatment ....",1,728,0
2022-10-02 01:32:24+00:00,1.57638E+18,https://twitter.com/ufakennie/status/1576384572765315080,ufakennie,Twitter Web App,"Lagos, Nigeria.","Happy independence day
Happy new month. 
May God bless NIGERIA.
.
.
.

#entrepreneur #socialmediapostdesign #contentcreation  #digitalmarketing
#brandidentity #branding101
#graphicdesigner #graphicdesignerinlagos #logoinspiration #ufakennieconcept https://t.co/IcbdWRr1g8",1,37,0
2022-10-02 01:32:02+00:00,1.57638E+18,https://twitter.com/nasirulere1/status/1576384480750993408,nasirulere1,Twitter for Android,"Kano, Nigeria","ALL NIGERIA FAMILY HAPPY INDEPENDENCE DAY.

UP ROAD https://t.co/2358ZnBCtH",0,62,0
